Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
394,Dejounte Murray,PG,25,SAS,56,56,34.6,8.4,18.1,0.462,1.3,4,0.317,7.1,14.1,0.503,0.497,2.4,3.1,0.773,1.3,7.1,8.4,9.4,2,0.3,2.5,2,20.4
395,Mike Muscala,C,30,OKC,43,0,13.8,2.6,5.8,0.456,1.6,3.8,0.429,1,2,0.506,0.597,1.1,1.3,0.842,0.5,2.5,3,0.5,0.4,0.6,0.3,1.3,8
396,Svi Mykhailiuk,SF,24,TOR,49,5,14.1,1.8,4.5,0.396,0.8,2.6,0.304,1,2,0.515,0.482,0.6,0.7,0.853,0.4,1.5,1.9,0.9,0.5,0.1,0.6,1,5
397,Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,0.343,0.3,1,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
398,Larry Nance Jr.,PF,29,POR,37,11,23.2,2.8,5.4,0.515,0.5,1.7,0.306,2.2,3.7,0.61,0.563,0.9,1.3,0.653,1.6,4.1,5.6,2,1,0.4,0.7,1.8,6.9
399,RJ Nembhard Jr.,SG,22,CLE,9,0,5.8,0.7,1.7,0.4,0,0.2,0,0.7,1.4,0.462,0.4,0.1,0.2,0.5,0.1,0.3,0.4,1.2,0,0,0.2,0.2,1.4
400,Aaron Nesmith,SF,22,BOS,45,2,10.5,1.2,3.4,0.366,0.5,2.1,0.242,0.7,1.3,0.569,0.441,0.4,0.4,0.842,0.3,1.4,1.7,0.4,0.3,0.1,0.6,1.2,3.4
401,Raul Neto,PG,29,WAS,54,10,20.7,3.1,6.9,0.454,0.5,1.9,0.282,2.6,4.9,0.521,0.493,1.2,1.6,0.742,0.2,1.8,2.1,3,0.8,0,1.1,1.6,8
402,Malik Newman,PG,24,CLE,1,0,8,3,5,0.6,0,1,0,3,4,0.75,0.6,2,2,1,0,1,1,1,0,0,1,0,8
403,Georges Niang,PF,28,PHI,59,6,23.1,3.3,7.6,0.434,2,5,0.397,1.3,2.6,0.506,0.565,0.7,0.9,0.863,0.4,2.3,2.6,1.5,0.4,0.2,0.8,2.6,9.3
